STOR	EARN	K	SIZE	EMPL	total	P15	P25	P35	P45	P55	INC	COMP	NCOMP	NREST	PRICE	CLI
1	28.3	861	129	14	8580	980	1280	560	1000	3100	27.6	8	1	45	16.10	129
2	-1.5	630	91	12	8460	1290	720	1200	1490	3100	28.3	2	2	27	11.40	116
3	68.9	1074	140	13	19250	2940	2490	3710	4030	5270	30.2	5	4	5	21.70	142
4	202.1	882	184	7	20920	3570	4930	4420	4300	2960	27.6	2	1	7	11.80	138
5	115.8	931	144	14	11660	1700	1140	2200	2140	2630	33.9	1	3	25	16.60	126
6	221.7	1185	160	11	25780	4640	3150	5720	5330	5920	32.5	3	9	8	22.10	137
7	292.9	907	94	5	19000	3600	2330	4750	4970	3030	33.1	0	11	89	24.30	134
8	134.4	764	100	8	18500	3450	2560	3630	3520	4800	29.7	3	3	14	16.40	132
9	37.4	643	85	14	14210	1930	4280	1740	2060	2960	28.4	4	12	43	12.90	129
10	181.0	666	92	6	17440	3520	1780	4350	4020	3470	28.3	8	1	76	13.00	117
11	246.9	1245	167	12	22360	3970	2810	4540	4770	4700	38.3	3	10	9	22.80	136
12	178.3	846	199	15	20360	3190	3610	4380	4150	3670	32.1	6	3	11	10.10	121
13	214.9	708	83	8	30020	4920	5540	5970	5770	6370	36.0	6	4	8	16.70	139
14	0.6	1370	141	10	9040	1210	980	890	1050	3760	35.3	2	3	11	31.00	118
15	252.3	1146	240	17	23370	4150	1540	5290	5140	6140	35.9	1	5	16	14.00	136
16	124.2	642	82	16	17160	2790	3850	3200	3610	2310	33.4	1	7	6	13.30	122
17	258.1	662	96	14	23960	4180	4480	5320	4980	4530	35.4	6	11	9	12.30	129
18	193.0	899	78	11	28380	4650	3760	6180	5760	6720	29.7	1	4	51	28.80	137
19	54.8	681	99	11	9080	1320	1480	1120	1090	2770	28.8	6	7	17	12.80	118
20	45.4	761	75	14	11910	2210	1850	2330	2240	2170	29.8	1	4	13	21.70	135
21	66.3	584	52	8	22550	4180	3040	5130	4770	4430	28.6	1	6	26	15.90	117
22	123.7	907	177	17	7760	1450	2080	1410	1840	910	34.9	6	12	14	12.90	140
23	57.8	688	111	9	12160	1670	3050	1490	1910	2540	26.4	8	8	41	11.70	117
24	75.2	711	84	12	6040	720	60	250	580	3440	28.0	4	3	64	16.70	128
25	115.6	630	95	13	14750	2620	1090	2790	3000	3940	28.2	10	14	50	10.90	132
26	140.9	889	95	10	24960	3990	3860	5190	5370	5700	29.6	2	7	21	23.20	131
27	94.1	638	67	5	19940	3490	1270	4730	4900	3980	26.9	2	3	18	16.00	134
28	250.8	889	154	8	24670	3950	4340	5160	5110	4570	27.7	1	5	64	14.30	124
29	-43.0	1090	93	17	16660	2570	2940	2820	2720	4450	25.2	2	0	5	33.40	133
30	145.6	565	67	12	11850	1990	1060	1470	1870	4120	36.5	2	5	61	11.10	110
31	147.6	504	61	9	24840	4790	3100	5920	5880	3800	32.8	1	5	31	7.70	124
32	175.1	732	116	7	25910	4460	1480	5940	5930	6380	27.7	1	4	19	12.90	125
33	117.9	629	92	15	11290	2050	1320	1910	1980	2590	33.6	3	3	5	11.20	137
34	79.5	746	78	6	19440	3370	2180	3840	3950	4930	29.5	1	4	45	20.00	135
35	140.5	1152	103	16	17180	2450	3130	2850	2780	5090	34.9	0	3	13	32.90	128
36	399.2	1172	191	13	29020	4850	4660	6130	5990	6190	34.5	1	1	96	18.20	131
37	246.3	1720	263	8	17080	2880	1950	3470	3890	3340	38.8	1	5	29	22.60	138
38	77.6	1594	261	9	9490	770	1960	580	770	3720	31.0	2	8	13	20.60	127
39	108.3	1124	169	8	12980	1770	3080	1540	1790	3740	31.8	2	10	10	19.30	131
40	188.6	626	97	15	24350	4330	1860	5350	5270	5730	30.8	3	11	29	10.50	141
41	143.5	906	117	12	21930	3310	4750	3620	3690	5150	29.9	5	5	36	19.50	140
42	175.5	722	116	5	13550	1550	3590	1480	1540	4440	34.0	2	4	44	12.50	120
43	94.1	597	76	16	23180	4050	2430	5060	4980	5400	31.0	6	13	19	11.70	134
44	214.2	643	144	14	21830	3920	2810	4260	4330	5970	30.0	1	11	26	7.60	112
45	63.3	761	87	17	22220	3230	4890	3990	4050	5270	25.5	2	3	32	18.70	128
46	237.1	570	73	6	26700	5150	2520	6280	5910	6490	35.2	8	3	14	10.50	134
47	208.8	553	59	11	19920	3450	3990	4090	4110	2760	34.4	7	6	71	11.70	116
48	110.6	861	83	13	26200	4070	4970	5360	5190	5710	29.5	4	10	44	25.00	116
49	165.4	714	125	7	20550	2800	3820	3370	3650	5260	33.8	3	10	12	11.30	122
50	-11.4	575	56	4	14260	2150	3030	2360	2240	3800	29.9	2	5	12	14.10	127
