EARN,K,SIZE,P35,INC,NREST
28.3,861,129,560,27.6,45
-1.5,630,91,1200,28.3,27
68.9,1074,140,3710,30.2,5
202.1,882,184,4420,27.6,7
115.8,931,144,2200,33.9,25
221.7,1185,160,5720,32.5,8
292.9,907,94,4750,33.1,89
134.4,764,100,3630,29.7,14
37.4,643,85,1740,28.4,43
181.0,666,92,4350,28.3,76
246.9,1245,167,4540,38.3,9
178.3,846,199,4380,32.1,11
214.9,708,83,5970,36.0,8
0.6,1370,141,890,35.3,11
252.3,1146,240,5290,35.9,16
124.2,642,82,3200,33.4,6
258.1,662,96,5320,35.4,9
193.0,899,78,6180,29.7,51
54.8,681,99,1120,28.8,17
45.4,761,75,2330,29.8,13
66.3,584,52,5130,28.6,26
123.7,907,177,1410,34.9,14
57.8,688,111,1490,26.4,41
75.2,711,84,250,28.0,64
115.6,630,95,2790,28.2,50
140.9,889,95,5190,29.6,21
94.1,638,67,4730,26.9,18
250.8,889,154,5160,27.7,64
-43.0,1090,93,2820,25.2,5
145.6,565,67,1470,36.5,61
147.6,504,61,5920,32.8,31
175.1,732,116,5940,27.7,19
117.9,629,92,1910,33.6,5
79.5,746,78,3840,29.5,45
140.5,1152,103,2850,34.9,13
399.2,1172,191,6130,34.5,96
246.3,1720,263,3470,38.8,29
77.6,1594,261,580,31.0,13
108.3,1124,169,1540,31.8,10
188.6,626,97,5350,30.8,29
143.5,906,117,3620,29.9,36
175.5,722,116,1480,34.0,44
94.1,597,76,5060,31.0,19
214.2,643,144,4260,30.0,26
63.3,761,87,3990,25.5,32
237.1,570,73,6280,35.2,14
208.8,553,59,4090,34.4,71
110.6,861,83,5360,29.5,44
165.4,714,125,3370,33.8,12
-11.4,575,56,2360,29.9,12
